# Common offline Romanized Nepali vocabulary. Alternatives use |.
# Pronouns and people
ma	म|मा|मलाई
maa	मा
maile	मैले
mailey	मैले
malai	मलाई
mal	मलाई|मैले
mero	मेरो
meri	मेरी
hami	हामी
hamile	हामीले
hamilai	हामीलाई
hamro	हाम्रो
timi	तिमी
timii	तिमी
timile	तिमीले
timilai	तिमीलाई
timro	तिम्रो
tapai	तपाईं
tapaile	तपाईंले
tapailai	तपाईंलाई
tapaiko	तपाईंको
u	ऊ
usle	उसले
uslai	उसलाई
usko	उसको
uni	उनी
uniharu	उनीहरू
uniharulai	उनीहरूलाई
yo	यो
tyo	त्यो
yini	यिनी
tini	तिनी
koh	को
ko	को
kasle	कसले
kaslai	कसलाई
aafu	आफू
aafno	आफ्नो
manchhe	मान्छे
manche	मान्छे
sathi	साथी
sathiharu	साथीहरू
pariwar	परिवार
parivar	परिवार
aama	आमा
ama	आमा
buwa	बुबा
buba	बुबा
baba	बाबा
dai	दाइ
didi	दिदी
bhai	भाइ
bahini	बहिनी
chhora	छोरा
chhori	छोरी

# Core grammar and conversation
ho	हो
hoina	होइन
haina	हैन
cha	छ|च
chha	छ
chhu	छु
chu	छु
chhau	छौ
chau	छौ
chhan	छन्
chan	छन्
thiyo	थियो
thiye	थिएँ
thiyau	थियौ
thie	थिए
huncha	हुन्छ
hunchha	हुन्छ
hudaina	हुँदैन
bhayo	भयो
vayo	भयो
bho	भो
hunuhuncha	हुनुहुन्छ
vaneko	भनेको
bhaneko	भनेको
vanne	भन्ने
bhanne	भन्ने
bhanda	भन्दा
vanda	भन्दा
bhanera	भनेर
vanera	भनेर
ra	र
ani	अनि
tara	तर
pani	पनि|पानी
pachi	पछि
pahile	पहिले
feri	फेरि
matra	मात्र
sanga	सँग
sangai	सँगै
lagi	लागि
laagi	लागि
lai	लाई
le	ले
ki	कि|की
ni	नि
nai	नै
ta	त
po	पो
re	रे

# Questions and common responses
ke	के
kina	किन
kasari	कसरी
kaha	कहाँ
kahile	कहिले
kati	कति
kasto	कस्तो
kasti	कस्ती
kun	कुन
kunai	कुनै
koho	को हो
kinaho	किन हो
hajur	हजुर
huss	हस्
thik	ठीक
thikai	ठिकै
ramrai	राम्रै
pakkai	पक्कै
sayad	सायद
shayad	सायद
hola	होला
la	ल
lau	लौ

# Greetings and chat
namaste	नमस्ते
namaskar	नमस्कार
subha	शुभ
suprabhat	सुप्रभात
bihana	बिहान
beluka	बेलुका
raat	रात
shubharatri	शुभरात्रि
dhanyabad	धन्यवाद
dhanyavaad	धन्यवाद
badhaai	बधाई
badhai	बधाई
swagat	स्वागत
maaf	माफ
maf	माफ
maafgarnu	माफ गर्नुहोस्
kripaya	कृपया
please	प्लिज
sanchai	सन्चै|सञ्चै
sancho	सन्चो
majale	मजाले
khusi	खुसी
dukhi	दुःखी
missyou	मिस यू
loveyou	लभ यू

# Everyday verbs
garnu	गर्नु
garna	गर्न
garchu	गर्छु
garchha	गर्छ
garcha	गर्छ
garchhau	गर्छौ
garchhan	गर्छन्
gare	गरेँ
garyo	गर्‍यो
garera	गरेर
gareko	गरेको
gardai	गर्दै
garirako	गरिरहेको
nagarnu	नगर्नु
janu	जानु
jaan	जान|जान्छु|जानु
jaanu	जानु
janchu	जान्छु
jaanchu	जान्छु
janchha	जान्छ
janchhan	जान्छन्
jaau	जाऊ
gayo	गयो
gaye	गएँ
gayau	गयौ
aunu	आउनु
aaunu	आउनु
aauchu	आउँछु
aauchhu	आउँछु
aaucha	आउँछ
aayo	आयो
aaye	आएँ
khanu	खानु
khana	खाना|खान
khanchu	खान्छु
khanchha	खान्छ
khayo	खायो
khaye	खाएँ
piunu	पिउनु
piyera	पिएर
sutnu	सुत्नु
sutchu	सुत्छु
uthe	उठेँ
uthnu	उठ्नु
basnu	बस्नु
baschu	बस्छु
baseko	बसेको
bolnu	बोल्नु
bolchu	बोल्छु
bolau	बोलाऊ
sunnu	सुन्नु
sunchu	सुन्छु
hernu	हेर्नु
herchu	हेर्छु
herau	हेरौँ
dekhnu	देख्नु
dekhe	देखेँ
dekhiyo	देखियो
lekhnu	लेख्नु
lekhchu	लेख्छु
padhnu	पढ्नु
padhchu	पढ्छु
siknu	सिक्नु
sikchu	सिक्छु
bujhnu	बुझ्नु
bujhe	बुझेँ
bujhina	बुझिनँ
sodhnu	सोध्नु
sodhchu	सोध्छु
dinu	दिनु
dinchu	दिन्छु
diyo	दियो
linu	लिनु
linchu	लिन्छु
liyo	लियो
lyau	ल्याऊ
pathau	पठाऊ
pathaunu	पठाउनु
pathaye	पठाएँ
bhetau	भेटौँ
bhetnu	भेट्नु
bhete	भेटेँ
rakhnu	राख्नु
rakhchu	राख्छु
chahanchu	चाहन्छु
chahinchha	चाहिन्छ
chaincha	चाहिन्छ
pardaina	पर्दैन
parcha	पर्छ
sakchu	सक्छु
sakdina	सक्दिनँ
mildaina	मिल्दैन
milcha	मिल्छ
lagcha	लाग्छ
laagcha	लाग्छ
lagyo	लाग्यो

# Time, quantity, and places
aja	आज
aaja	आज
bholi	भोलि
hijo	हिजो
ahile	अहिले
ahiley	अहिले
chadai	चाँडै
dhilo	ढिलो
sadhai	सधैँ
kaile	कहिले
aile	अहिले
ek	एक
dui	दुई
tin	तीन
char	चार
paanch	पाँच
panch	पाँच
saat	सात
aath	आठ
nau	नौ
das	दस
dherai	धेरै
derai	धेरै
thorai	थोरै
sabai	सबै
kehi	केही
ali	अलि
ekdam	एकदम
katmandu	काठमाडौं
kathmandu	काठमाडौं
pokhara	पोखरा
nepal	नेपाल
nepali	नेपाली
gaun	गाउँ
gau	गाउँ
sahar	सहर
shahar	सहर
ghar	घर|घरमा
gharma	घरमा
kotha	कोठा
bato	बाटो
pasal	पसल
bazar	बजार
aspatal	अस्पताल

# Common nouns and daily life
paisa	पैसा
rupaiya	रुपैयाँ
rupiya	रुपैयाँ
paani	पानी
chiya	चिया
chya	चिया
coffee	कफी
bhaat	भात
bhat	भात
daal	दाल
dal	दाल
tarkari	तरकारी
roti	रोटी
momo	मोमो
mitho	मिठो
naramro	नराम्रो
ramro	राम्रो
ramroo	राम्रो
thulo	ठूलो
sano	सानो
naya	नयाँ
purano	पुरानो
sajilo	सजिलो
gahro	गाह्रो
chiso	चिसो
tato	तातो
safa	सफा
maya	माया
man	मन
mankura	मनकुरा
kura	कुरा
kaam	काम
kam	कम|काम
naam	नाम
nam	नाम
thau	ठाउँ
din	दिन
hapta	हप्ता
mahina	महिना
barsa	वर्ष
samaya	समय

# Adjectives and feelings
risaeko	रिसाएको
ris	रिस
dukha	दुःख
sukha	सुख
mayaalu	मायालु
sundar	सुन्दर
mithas	मिठास
sahi	सही
galat	गलत
ramailo	रमाइलो
bor	बोर
busy	बिजी
free	फ्री
ready	रेडी

# Internet and conversational Nepali spellings
khabar	खबर
samachar	समाचार
jawaf	जवाफ
jabab	जवाफ
photo	फोटो
video	भिडियो
message	मेसेज
mesaj	मेसेज
call	कल
online	अनलाइन
offline	अफलाइन
mobile	मोबाइल
computer	कम्प्युटर
internet	इन्टरनेट
facebook	फेसबुक
youtube	युट्युब
tiktok	टिकटक
post	पोस्ट
comment	कमेण्ट
like	लाइक
share	सेयर
follow	फलो
status	स्टाटस

# Names and common sound patterns
ram	राम
sita	सीता
gita	गीता
hari	हरि
krishna	कृष्ण
shiva	शिव
suman	सुमन
bikash	विकास
vikas	विकास
prakash	प्रकाश
santosh	सन्तोष
anish	अनिश
manish	मनीष
roshan	रोशन
nisha	निशा
puja	पूजा
pooja	पूजा
sarita	सरिता
sunita	सुनीता
ramesh	रमेश
suresh	सुरेश

# Expanded everyday Romanized Nepali
padhna	पढ्न
lekhna	लेख्न
bolna	बोल्न
herna	हेर्न
sunna	सुन्न
aauna	आउन
jana	जान
basna	बस्न
garnuparne	गर्नुपर्ने
garnuparcha	गर्नुपर्छ
samjhana	सम्झना
samjhinchu	सम्झिन्छु
birse	बिर्सेँ
birsina	बिर्सिनँ
thakyo	थाक्यो
thakai	थाकाइ
nidra	निद्रा
bhok	भोक
tirsha	तिर्खा
joro	ज्वरो
aukhayo	औखायो
ausadhi	औषधि
doctor	डाक्टर
daktar	डाक्टर
nurse	नर्स
police	प्रहरी
prahari	प्रहरी
sadak	सडक
gaadi	गाडी
gadi	गाडी
motar	मोटर
motor	मोटर
tempo	टेम्पो
micro	माइक्रो
buspark	बसपार्क
ticket	टिकट
mahango	महँगो
sasto	सस्तो
bujhena	बुझेन
bujhyo	बुझ्यो
thaaha	थाहा
wasto	वास्तव
vastav	वास्तव
sakcha	सक्छ
sakdaina	सक्दैन
milena	मिलेन
bhayena	भएन
chhaina	छैन
chaina	छैन
chhainau	छैनौ
hunna	हुन्न
nabhana	नभन
najau	नजाऊ
naau	नआऊ
bas	बस्
aau	आऊ
her	हेर
sun	सुन
bol	बोल
kha	खा
deu	देऊ
leu	लेऊ
rakha	राख
hida	हिँड
hidnu	हिँड्नु
daudinu	दौडिनु
nachnu	नाच्नु
hasnu	हाँस्नु
runu	रुनु
roye	रोएँ
hase	हाँसेँ
risaae	रिसाएँ
daraayo	डरायो
dar	डर
himmat	हिम्मत
sahas	साहस
mehnat	मेहनत
kosis	कोसिस
koshish	कोसिस
safal	सफल
asafal	असफल
jit	जित
haar	हार
khel	खेल
khelnu	खेल्नु
git	गीत
gana	गाना
bajha	बाजा
nach	नाच
cinema	सिनेमा
chalchitra	चलचित्र
serial	सिरियल
news	न्यूज
radio	रेडियो
tv	टिभी
telephone	टेलिफोन
sms	एसएमएस
whatsapp	ह्वाट्सएप
insta	इन्स्टा
instagram	इन्स्टाग्राम
facebookma	फेसबुकमा
story	स्टोरी
reel	रिल
live	लाइभ
battery	ब्याट्री
password	पासवर्ड
login	लगइन
download	डाउनलोड
upload	अपलोड
file	फाइल
folder	फोल्डर
map	म्याप
location	लोकेसन
address	ठेगाना
thegana	ठेगाना
number	नम्बर
padhai	पढाइ
homework	होमवर्क
exam	एग्जाम
pariksha	परीक्षा
result	रिजल्ट
pass	पास
fail	फेल
teacher	टिचर
sir	सर
miss	मिस
student	स्टुडेन्ट
bihe	बिहे
byaha	ब्याह
logne	लोग्ने
swasni	स्वास्नी
chhoro	छोरो
babu	बाबु
hajurba	हजुरबुबा
hajurama	हजुरआमा
kaka	काका
kaki	काकी
mama	मामा
maiya	माइजू
phupu	फुपू
nani	नानी
mannu	मान्नु
biswas	विश्वास
sandeha	सन्देह
bhetaunla	भेटौँला
bolula	बोलुँला
herula	हेरुँला
auchhu	आउँछु
janchhu	जान्छु
baschhu	बस्छु
garchhu	गर्छु
khanchhu	खान्छु
padhchhu	पढ्छु
lekhchhu	लेख्छु
herchhu	हेर्छु
sunchhu	सुन्छु
bolchhu	बोल्छु
sikchhu	सिक्छु
bujhchhu	बुझ्छु
sodhchhu	सोध्छु
dinchhu	दिन्छु
linchhu	लिन्छु
rakhchhu	राख्छु
pathauchhu	पठाउँछु
bolauchhu	बोलाउँछु
nachhu	नाच्छु
haschhu	हाँस्छु
rochhu	रोन्छु
sutchhu	सुत्छु
uthchhu	उठ्छु
hidchhu	हिँड्छु
daudinchhu	दौडिन्छु
khelchhu	खेल्छु
nachchhu	नाच्छु
gauchhu	गाउँछु
banachhu	बनाउँछु
kinchhu	किन्छु
bechchhu	बेच्छु
tirchhu	तिर्छु
magchhu	माग्छु
dinxu	दिन्छु
linxu	लिन्छु
garxu	गर्छु
janxu	जान्छु
aauxu	आउँछु
chowmein	चाउमिन
chowmin	चाउमिन
thukpa	थुक्पा
selroti	सेलरोटी
gundruk	गुन्द्रुक
achar	अचार
dahi	दही
mahi	मोही
dudh	दूध
chij	चिज
puri	पुरी
masu	मासु
kukhura	कुखुरा
khasiko	खसीको
machha	माछा
anda	अण्डा
phalphul	फलफूल
syau	स्याउ
kera	केरा
suntala	सुन्तला
aap	आँप
angur	अंगुर
tarul	तरुल
aalu	आलु
pyaj	प्याज
lasun	लसुन
aduwa	अदुवा
khursani	खुर्सानी
nunn	नुन
chinni	चिनी
tel	तेल
gheu	घिउ
guliyo	गुलियो
amilo	अमिलो
tito	तितो
raksi	रक्सी
jaad	जाँड
churot	चुरोट
dashain	दशैं
tihar	तिहार
teej	तीज
holi	होली
chhath	छठ
losar	ल्होसार
birthday	जन्मदिन
janmadin	जन्मदिन
shubhakamana	शुभकामना
bhetam	भेटम
pheribhetaula	फेरि भेटौँला
agadi	अगाडि
pachadi	पछाडि
mathi	माथि
tala	तल
bhitra	भित्र
bahira	बाहिर
najik	नजिक
daaya	दायाँ
baya	बायाँ
sidha	सिधा
ulta	उल्टो
sabaibhanda	सबैभन्दा
pahilo	पहिलो
dosro	दोस्रो
tesro	तेस्रो
antim	अन्तिम
suru	सुरु
antya	अन्त्य
bich	बिच
madhya	मध्य
see	एसईई
bachelor	ब्याचलर
master	मास्टर
jagire	जागिरे
talab	तलब
salary	तलब
byapar	व्यापार
sastoma	सस्तोमा
mahangoma	महँगोमा
discount	डिस्काउन्ट
offer	अफर
bill	बिल
receipt	रसिद
hisab	हिसाब
udhar	उधारो
rin	ऋण
byaj	ब्याज
bank	बैंक
account	खाता
esewa	इसेवा
khalti	खल्ती
connectips	कनेक्टआईपीएस

# Phase 12 everyday Roman variants
manparcha	मनपर्छ
manparchha	मनपर्छ
manparyo	मनपर्यो
kahaa	कहाँ
kahaan	कहाँ
meroo	मेरो
ramrooo	राम्रो

# Phase 15 compact Roman prefixes
tim	तिमी|तिम्रो

# Phase 19 everyday verb variants
nepai	नेपाली
auchu	आउँछु
aaunchu	आउँछु
aauchu	आउँछु
aunxu	आउँछु
aauxu	आउँछु

# Phase 22 Roman variants
jaanxu	जान्छु
malay	मलाई
malaii	मलाई
dhanyabaad	धन्यवाद
kata	कहाँ
manparne	मनपर्ने
gharkoo	घरको
gharbata	घरबाट
gharlai	घरलाई
jaane	जाने
gae	गए
gayen	गए
